secondsElapsed,wristMotion_rotationRateX,wristMotion_rotationRateY,wristMotion_rotationRateZ,wristMotion_gravityX,wristMotion_gravityY,wristMotion_gravityZ,wristMotion_accelerationX,wristMotion_accelerationY,wristMotion_accelerationZ,wristMotion_quaternionW,wristMotion_quaternionX,wristMotion_quaternionY,wristMotion_quaternionZ,weight,set,reps,activity,activityEncoded
0.0,,,,,,,,,,,,,,52.0,2.0,,CGCR,2
0.01,,,,,,,,,,,,,,52.0,2.0,,CGCR,2
0.02,,,,,,,,,,,,,,52.0,2.0,,CGCR,2
0.03,,,,,,,,,,,,,,52.0,2.0,,CGCR,2
0.04,,,,,,,,,,,,,,52.0,2.0,,CGCR,2
0.05,,,,,,,,,,,,,,52.0,2.0,,CGCR,2
0.06,,,,,,,,,,,,,,52.0,2.0,,CGCR,2
0.07,,,,,,,,,,,,,,52.0,2.0,,CGCR,2
0.08,,,,,,,,,,,,,,52.0,2.0,,CGCR,2
0.09,,,,,,,,,,,,,,52.0,2.0,,CGCR,2
0.1,,,,,,,,,,,,,,52.0,2.0,,CGCR,2
0.11,,,,,,,,,,,,,,52.0,2.0,,CGCR,2
0.12,,,,,,,,,,,,,,52.0,2.0,,CGCR,2
0.13,,,,,,,,,,,,,,52.0,2.0,,CGCR,2
0.14,,,,,,,,,,,,,,52.0,2.0,,CGCR,2
0.15,,,,,,,,,,,,,,52.0,2.0,,CGCR,2
0.16,,,,,,,,,,,,,,52.0,2.0,,CGCR,2
0.17,,,,,,,,,,,,,,52.0,2.0,,CGCR,2
0.18,-0.226882,0.042611,0.222494,0.191786,-0.110281,-0.975221,-0.060484,0.016271,0.110643,0.993785,0.055367,0.09656,0.001211,52.0,2.0,,CGCR,2
0.19,-0.205312,0.081889,0.240277,0.192135,-0.108612,-0.97534,-0.059581,0.033371,0.126387,0.993813,0.054403,0.096801,0.002477,52.0,2.0,,CGCR,2
0.2,-0.201991,0.088984,0.283217,0.192715,-0.107158,-0.975386,-0.056011,0.047298,0.134139,0.99382,0.053531,0.097167,0.003898,52.0,2.0,,CGCR,2
0.21,-0.258501,0.072847,0.295703,0.193182,-0.105482,-0.975476,-0.039312,0.032316,0.135831,0.993835,0.052531,0.09748,0.005478,52.0,2.0,,CGCR,2
0.22,-0.32969,0.087376,0.292755,0.19362,-0.103163,-0.975638,-0.028703,0.022154,0.151465,0.993865,0.051203,0.097773,0.007089,52.0,2.0,,CGCR,2
0.23,-0.383268,0.083713,0.290838,0.194156,-0.100253,-0.975834,-0.032916,0.005099,0.165364,0.993902,0.049571,0.09811,0.008746,52.0,2.0,,CGCR,2
0.24,-0.444883,0.080761,0.296857,0.194655,-0.096769,-0.976087,-0.029036,-0.000796,0.166455,0.993949,0.047646,0.09842,0.010431,52.0,2.0,,CGCR,2
0.25,-0.464743,0.11061,0.304498,0.195329,-0.092899,-0.976328,-0.023515,0.018085,0.181406,0.99399,0.045522,0.098812,0.012158,52.0,2.0,,CGCR,2
0.26,-0.493007,0.097819,0.300505,0.196066,-0.088815,-0.97656,-0.029318,0.01629,0.169035,0.994025,0.043282,0.099229,0.013946,52.0,2.0,,CGCR,2
0.27,-0.45984,0.106022,0.246204,0.196812,-0.084651,-0.97678,-0.03423,0.029628,0.157185,0.994056,0.041017,0.099637,0.015578,52.0,2.0,,CGCR,2
0.28,-0.384773,0.121154,0.223356,0.197739,-0.080959,-0.976906,-0.038819,0.047481,0.143791,0.994065,0.039013,0.100125,0.016956,52.0,2.0,,CGCR,2
0.29,-0.324366,0.131041,0.259458,0.198779,-0.077981,-0.976937,-0.037798,0.066689,0.104851,0.994048,0.037365,0.100674,0.018352,52.0,2.0,,CGCR,2
0.3,-0.305118,0.134716,0.271294,0.19986,-0.075481,-0.976913,0.000457,0.102657,0.089416,0.994013,0.035942,0.101251,0.019884,52.0,2.0,,CGCR,2
0.31,-0.379351,0.101708,0.204611,0.200875,-0.072692,-0.976916,0.010704,0.092513,0.06502,0.993985,0.034388,0.101781,0.021268,52.0,2.0,,CGCR,2
0.32,-0.49067,0.064198,0.163789,0.201518,-0.068768,-0.977068,-0.017848,0.041195,0.0338,0.993998,0.032289,0.102095,0.022412,52.0,2.0,,CGCR,2
0.33,-0.570281,0.055537,0.15901,0.201976,-0.063897,-0.977304,-0.023173,0.028527,0.008768,0.994032,0.029723,0.102297,0.02349,52.0,2.0,,CGCR,2
0.34,-0.65988,0.056069,0.148908,0.202439,-0.058227,-0.977562,-0.006485,0.044402,0.005349,0.994071,0.026753,0.102485,0.024584,52.0,2.0,,CGCR,2
0.35,-0.764916,0.055222,0.158303,0.202881,-0.051552,-0.977845,-0.005814,0.052757,-0.008818,0.994114,0.023274,0.102643,0.025707,52.0,2.0,,CGCR,2
0.36,-0.843596,0.070769,0.206784,0.203393,-0.044022,-0.978107,-0.01159,0.038514,-0.024197,0.994144,0.019344,0.102822,0.027039,52.0,2.0,,CGCR,2
0.37,-0.868723,0.095552,0.226631,0.204118,-0.036013,-0.978284,-0.023347,0.046892,-0.034564,0.994146,0.01515,0.103095,0.028563,52.0,2.0,,CGCR,2
0.38,-0.807072,0.150009,0.295608,0.205247,-0.028311,-0.978301,-0.029419,0.057211,-0.078004,0.9941,0.011086,0.10357,0.030269,52.0,2.0,,CGCR,2
0.39,-0.662839,0.182973,0.376672,0.206834,-0.021775,-0.978134,-0.042725,0.061234,-0.026703,0.993991,0.007555,0.104288,0.032393,52.0,2.0,,CGCR,2
0.4,-0.465241,0.22402,0.293563,0.20874,-0.016934,-0.977825,-0.036743,0.031567,-0.021336,0.993845,0.004877,0.105185,0.034413,52.0,2.0,,CGCR,2
0.41,-0.632273,0.347546,-0.477262,0.211452,-0.012426,-0.977309,-0.058497,-0.022593,-0.003266,0.9937,0.002517,0.106484,0.034863,52.0,2.0,,CGCR,2
0.42,-0.563042,0.103499,-0.861027,0.213036,-0.005048,-0.977031,0.037544,-0.061861,0.029491,0.993732,-0.00089,0.107161,0.031813,52.0,2.0,,CGCR,2
0.43,-0.670619,0.154056,-0.766231,0.214241,0.002431,-0.976778,0.150277,-0.315953,0.028871,0.993787,-0.004244,0.107671,0.027879,52.0,2.0,,CGCR,2
0.44,-2.306324,1.003205,2.87375,0.218956,0.01371,-0.975638,0.042763,-0.427635,0.116996,0.993406,-0.010335,0.109882,0.03105,52.0,2.0,,CGCR,2
0.45,-3.075812,0.082298,2.758791,0.222326,0.033865,-0.974384,0.857203,-1.081305,0.511127,0.992398,-0.022466,0.11092,0.048346,52.0,2.0,,CGCR,2
0.46,-3.793963,0.225468,1.493944,0.224261,0.062561,-0.972519,0.612791,-1.025192,0.274796,0.991266,-0.038309,0.110783,0.060422,52.0,2.0,,CGCR,2
0.47,-4.424121,0.37361,1.975628,0.228403,0.099096,-0.96851,0.082663,-0.933432,0.317158,0.989556,-0.058047,0.111245,0.070949,52.0,2.0,,CGCR,2
0.48,-4.897923,0.196104,2.08221,0.232505,0.138987,-0.962613,0.173272,-1.104777,0.307233,0.987074,-0.079808,0.111014,0.083618,52.0,2.0,,CGCR,2
0.49,-5.308689,0.292404,2.493508,0.238661,0.183041,-0.953696,0.062028,-0.933606,0.238074,0.983528,-0.104067,0.111004,0.09758,52.0,2.0,,CGCR,2
0.5,-5.31319,0.201687,2.935529,0.246639,0.22689,-0.942173,0.219212,-0.813026,0.252186,0.97884,-0.128807,0.111006,0.113835,52.0,2.0,,CGCR,2
0.51,-5.289185,0.036752,3.023551,0.255295,0.269112,-0.928657,0.38002,-0.808098,0.177466,0.973184,-0.153173,0.110498,0.131308,52.0,2.0,,CGCR,2
0.52,-5.085311,-0.239229,3.006512,0.26319,0.309364,-0.913797,0.429345,-0.646568,0.148202,0.966822,-0.176755,0.108899,0.148843,52.0,2.0,,CGCR,2
0.53,-4.54693,-0.553353,3.081583,0.269559,0.345178,-0.898994,0.484911,-0.490045,0.122108,0.960101,-0.198143,0.106031,0.166443,52.0,2.0,,CGCR,2
0.54,-3.782834,-0.793611,3.225557,0.274917,0.3739,-0.885788,0.525071,-0.364409,0.108078,0.953359,-0.215906,0.102424,0.184393,52.0,2.0,,CGCR,2
0.55,-2.961034,-0.981964,3.375249,0.279801,0.394499,-0.875261,0.519683,-0.245878,0.109926,0.946839,-0.229445,0.098612,0.202799,52.0,2.0,,CGCR,2
0.56,-2.201326,-1.095684,3.528575,0.284555,0.407213,-0.867874,0.468206,-0.141924,0.104035,0.940655,-0.238829,0.094992,0.221595,52.0,2.0,,CGCR,2
0.57,-1.728793,-1.063063,3.699944,0.290004,0.413653,-0.863012,0.39713,-0.065035,0.092305,0.934628,-0.245001,0.092026,0.240784,52.0,2.0,,CGCR,2
0.58,-1.706149,-1.003078,3.879295,0.296882,0.417058,-0.859025,0.309792,-0.035695,0.110169,0.928247,-0.249849,0.089794,0.260518,52.0,2.0,,CGCR,2
0.59,-2.063859,-0.978449,3.972067,0.30492,0.421215,-0.854167,0.248303,-0.042965,0.104213,0.92099,-0.255405,0.087663,0.280823,52.0,2.0,,CGCR,2
0.6,-2.686802,-1.008158,3.949535,0.313365,0.429067,-0.847174,0.239583,-0.054998,0.114645,0.912563,-0.263097,0.084813,0.301356,52.0,2.0,,CGCR,2
0.61,-3.450222,-1.070166,3.858905,0.321656,0.442521,-0.837086,0.269729,-0.054719,0.141132,0.902773,-0.273803,0.080556,0.321782,52.0,2.0,,CGCR,2
0.62,-4.265788,-1.175741,3.746068,0.329529,0.462181,-0.823286,0.315231,-0.032539,0.158796,0.891468,-0.287777,0.074439,0.341946,52.0,2.0,,CGCR,2
0.63,-5.069338,-1.338861,3.634546,0.336871,0.487964,-0.805238,0.355741,0.008892,0.193346,0.878464,-0.304973,0.066124,0.361828,52.0,2.0,,CGCR,2
0.64,-5.718815,-1.589697,3.477576,0.343182,0.518871,-0.782943,0.378299,0.081334,0.225005,0.863751,-0.324765,0.055284,0.381321,52.0,2.0,,CGCR,2
