secondsElapsed,wristMotion_rotationRateX,wristMotion_rotationRateY,wristMotion_rotationRateZ,wristMotion_gravityX,wristMotion_gravityY,wristMotion_gravityZ,wristMotion_accelerationX,wristMotion_accelerationY,wristMotion_accelerationZ,wristMotion_quaternionW,wristMotion_quaternionX,wristMotion_quaternionY,wristMotion_quaternionZ,weight,set,reps,activity,activityEncoded
0.0,,,,,,,,,,,,,,7.0,1.0,13.0,IDBC,36
0.01,,,,,,,,,,,,,,7.0,1.0,13.0,IDBC,36
0.02,,,,,,,,,,,,,,7.0,1.0,13.0,IDBC,36
0.03,,,,,,,,,,,,,,7.0,1.0,13.0,IDBC,36
0.04,,,,,,,,,,,,,,7.0,1.0,13.0,IDBC,36
0.05,,,,,,,,,,,,,,7.0,1.0,13.0,IDBC,36
0.06,,,,,,,,,,,,,,7.0,1.0,13.0,IDBC,36
0.07,,,,,,,,,,,,,,7.0,1.0,13.0,IDBC,36
0.08,,,,,,,,,,,,,,7.0,1.0,13.0,IDBC,36
0.09,,,,,,,,,,,,,,7.0,1.0,13.0,IDBC,36
0.1,,,,,,,,,,,,,,7.0,1.0,13.0,IDBC,36
0.11,,,,,,,,,,,,,,7.0,1.0,13.0,IDBC,36
0.12,,,,,,,,,,,,,,7.0,1.0,13.0,IDBC,36
0.13,,,,,,,,,,,,,,7.0,1.0,13.0,IDBC,36
0.14,-0.052718,0.008136,0.085546,0.144546,-0.10516,-0.983894,-0.007187,0.015088,0.011452,0.995965,0.052793,0.072566,-0.0,7.0,1.0,13.0,IDBC,36
0.15,-0.020227,0.014371,0.078481,0.144567,-0.104908,-0.983918,-0.009878,0.041493,0.015717,0.995971,0.052636,0.072598,0.000421,7.0,1.0,13.0,IDBC,36
0.16,0.02613,0.023302,0.070401,0.144677,-0.105047,-0.983887,-0.009652,0.049795,0.012543,0.995963,0.052679,0.072673,0.000791,7.0,1.0,13.0,IDBC,36
0.17,0.057724,0.024585,0.065788,0.144838,-0.105568,-0.983808,-0.008165,0.045311,0.010038,0.995943,0.052917,0.072773,0.001113,7.0,1.0,13.0,IDBC,36
0.18,0.060292,0.022156,0.057729,0.145,-0.106275,-0.983708,-0.010463,0.031294,0.010899,0.995918,0.053252,0.072873,0.001409,7.0,1.0,13.0,IDBC,36
0.19,0.034234,0.024434,0.055184,0.145174,-0.106837,-0.983621,-0.012896,0.019176,0.011651,0.995896,0.053516,0.072976,0.001678,7.0,1.0,13.0,IDBC,36
0.2,-0.003416,0.017852,0.056252,0.145319,-0.107075,-0.983574,-0.010324,0.003895,0.010734,0.995883,0.053615,0.073065,0.001954,7.0,1.0,13.0,IDBC,36
0.21,-0.056928,0.010795,0.055139,0.145412,-0.106855,-0.983584,-0.006634,-0.00191,0.018023,0.995885,0.053483,0.073127,0.002251,7.0,1.0,13.0,IDBC,36
0.22,-0.098293,0.013926,0.045164,0.145468,-0.106145,-0.983652,-0.005835,0.001653,0.015498,0.995901,0.053104,0.073169,0.002537,7.0,1.0,13.0,IDBC,36
0.23,-0.119103,0.01611,0.040428,0.145559,-0.105133,-0.983748,-0.001501,0.006531,0.010603,0.995925,0.052577,0.073225,0.002787,7.0,1.0,13.0,IDBC,36
0.24,-0.112816,0.019591,0.033845,0.14568,-0.104038,-0.983846,0.000377,0.011097,0.008138,0.995949,0.052009,0.073294,0.003015,7.0,1.0,13.0,IDBC,36
0.25,-0.1055,0.017071,0.020864,0.145818,-0.103001,-0.983935,-0.000158,0.023473,0.004809,0.99597,0.051474,0.073369,0.003198,7.0,1.0,13.0,IDBC,36
0.26,-0.094321,0.019725,0.013836,0.145981,-0.102065,-0.984008,-0.003311,0.035064,0.004272,0.995989,0.050993,0.073455,0.003327,7.0,1.0,13.0,IDBC,36
0.27,-0.085584,0.027465,0.007651,0.146205,-0.101199,-0.984065,-0.006205,0.029284,0.004054,0.996002,0.05055,0.073569,0.003419,7.0,1.0,13.0,IDBC,36
