secondsElapsed,wristMotion_rotationRateX,wristMotion_rotationRateY,wristMotion_rotationRateZ,wristMotion_gravityX,wristMotion_gravityY,wristMotion_gravityZ,wristMotion_accelerationX,wristMotion_accelerationY,wristMotion_accelerationZ,wristMotion_quaternionW,wristMotion_quaternionX,wristMotion_quaternionY,wristMotion_quaternionZ,weight,set,reps,activity,activityEncoded
0.0,,,,,,,,,,,,,,4.0,1.0,30.0,SACLR,14
0.01,,,,,,,,,,,,,,4.0,1.0,30.0,SACLR,14
0.02,,,,,,,,,,,,,,4.0,1.0,30.0,SACLR,14
0.03,,,,,,,,,,,,,,4.0,1.0,30.0,SACLR,14
0.04,,,,,,,,,,,,,,4.0,1.0,30.0,SACLR,14
0.05,,,,,,,,,,,,,,4.0,1.0,30.0,SACLR,14
0.06,,,,,,,,,,,,,,4.0,1.0,30.0,SACLR,14
0.07,,,,,,,,,,,,,,4.0,1.0,30.0,SACLR,14
0.08,,,,,,,,,,,,,,4.0,1.0,30.0,SACLR,14
0.09,,,,,,,,,,,,,,4.0,1.0,30.0,SACLR,14
0.1,,,,,,,,,,,,,,4.0,1.0,30.0,SACLR,14
0.11,,,,,,,,,,,,,,4.0,1.0,30.0,SACLR,14
0.12,,,,,,,,,,,,,,4.0,1.0,30.0,SACLR,14
0.13,,,,,,,,,,,,,,4.0,1.0,30.0,SACLR,14
0.14,,,,,,,,,,,,,,4.0,1.0,30.0,SACLR,14
0.15,,,,,,,,,,,,,,4.0,1.0,30.0,SACLR,14
0.16,,,,,,,,,,,,,,4.0,1.0,30.0,SACLR,14
0.17,,,,,,,,,,,,,,4.0,1.0,30.0,SACLR,14
0.18,-0.20194,-0.146016,0.274589,0.304415,-0.113101,-0.945801,-0.014895,0.098865,0.051316,0.986356,0.05708,0.154406,0.001614,4.0,1.0,30.0,SACLR,14
0.19,-0.170499,-0.100089,0.225942,0.302981,-0.112105,-0.94638,-0.027132,0.105757,0.057083,0.9865,0.05636,0.153732,0.002949,4.0,1.0,30.0,SACLR,14
0.2,-0.162014,-0.052311,0.179121,0.302045,-0.111145,-0.946792,-0.035367,0.093536,0.051834,0.9866,0.055699,0.153302,0.004044,4.0,1.0,30.0,SACLR,14
0.21,-0.184765,-0.014531,0.131062,0.301553,-0.109994,-0.947083,-0.029871,0.070596,0.042283,0.98667,0.054974,0.153089,0.004939,4.0,1.0,30.0,SACLR,14
0.22,-0.21768,0.017025,0.079038,0.301475,-0.108391,-0.947293,-0.021614,0.066719,0.036816,0.98672,0.054057,0.153073,0.005596,4.0,1.0,30.0,SACLR,14
