secondsElapsed,wristMotion_rotationRateX,wristMotion_rotationRateY,wristMotion_rotationRateZ,wristMotion_gravityX,wristMotion_gravityY,wristMotion_gravityZ,wristMotion_accelerationX,wristMotion_accelerationY,wristMotion_accelerationZ,wristMotion_quaternionW,wristMotion_quaternionX,wristMotion_quaternionY,wristMotion_quaternionZ,weight,set,reps,activity,activityEncoded
0.0,,,,,,,,,,,,,,4.0,1.0,8.0,MIBP,27
0.01,,,,,,,,,,,,,,4.0,1.0,8.0,MIBP,27
0.02,,,,,,,,,,,,,,4.0,1.0,8.0,MIBP,27
0.03,,,,,,,,,,,,,,4.0,1.0,8.0,MIBP,27
0.04,,,,,,,,,,,,,,4.0,1.0,8.0,MIBP,27
0.05,,,,,,,,,,,,,,4.0,1.0,8.0,MIBP,27
0.06,,,,,,,,,,,,,,4.0,1.0,8.0,MIBP,27
0.07,,,,,,,,,,,,,,4.0,1.0,8.0,MIBP,27
0.08,,,,,,,,,,,,,,4.0,1.0,8.0,MIBP,27
0.09,,,,,,,,,,,,,,4.0,1.0,8.0,MIBP,27
0.1,,,,,,,,,,,,,,4.0,1.0,8.0,MIBP,27
0.11,,,,,,,,,,,,,,4.0,1.0,8.0,MIBP,27
0.12,,,,,,,,,,,,,,4.0,1.0,8.0,MIBP,27
0.13,,,,,,,,,,,,,,4.0,1.0,8.0,MIBP,27
0.14,,,,,,,,,,,,,,4.0,1.0,8.0,MIBP,27
0.15,,,,,,,,,,,,,,4.0,1.0,8.0,MIBP,27
0.16,,,,,,,,,,,,,,4.0,1.0,8.0,MIBP,27
0.17,,,,,,,,,,,,,,4.0,1.0,8.0,MIBP,27
0.18,,,,,,,,,,,,,,4.0,1.0,8.0,MIBP,27
0.19,,,,,,,,,,,,,,4.0,1.0,8.0,MIBP,27
0.2,,,,,,,,,,,,,,4.0,1.0,8.0,MIBP,27
0.21,,,,,,,,,,,,,,4.0,1.0,8.0,MIBP,27
0.22,0.088788,-0.005248,0.040929,0.214391,-0.048027,-0.975566,0.00735,-0.009651,0.000728,0.993873,0.024142,0.107861,0.000177,4.0,1.0,8.0,MIBP,27
0.23,0.067185,-0.005736,0.033634,0.214306,-0.048877,-0.975543,0.009739,-0.017987,-0.001264,0.993867,0.024555,0.107822,0.000319,4.0,1.0,8.0,MIBP,27
0.24,0.063182,-0.009029,0.030538,0.214215,-0.049572,-0.975528,0.005924,-0.021351,0.000979,0.993863,0.024891,0.10778,0.000447,4.0,1.0,8.0,MIBP,27
0.25,0.050454,-0.003004,0.034807,0.214153,-0.050191,-0.97551,0.002354,-0.015391,0.003815,0.993859,0.025187,0.107753,0.000583,4.0,1.0,8.0,MIBP,27
0.26,0.045039,-0.000593,0.025065,0.214112,-0.050729,-0.975491,0.002212,-0.014075,0.007229,0.993854,0.025445,0.107736,0.000706,4.0,1.0,8.0,MIBP,27
0.27,0.047156,0.003292,0.014191,0.214104,-0.051207,-0.975468,0.004127,-0.017061,0.012211,0.993848,0.025678,0.107735,0.000772,4.0,1.0,8.0,MIBP,27
0.28,0.050061,0.005704,0.013856,0.214142,-0.051724,-0.975432,0.004074,-0.019565,0.013655,0.993839,0.025935,0.107756,0.00081,4.0,1.0,8.0,MIBP,27
0.29,0.047091,0.014862,0.021451,0.214237,-0.052234,-0.975384,0.001446,-0.02641,0.01109,0.993827,0.026184,0.107807,0.000873,4.0,1.0,8.0,MIBP,27
0.3,0.058306,0.014678,0.025559,0.214362,-0.0528,-0.975326,-0.000846,-0.02801,0.009445,0.993812,0.02646,0.107874,0.00096,4.0,1.0,8.0,MIBP,27
0.31,0.079088,0.020755,0.014852,0.214512,-0.053497,-0.975255,-0.0042,-0.021668,0.011937,0.993794,0.026805,0.107953,0.001018,4.0,1.0,8.0,MIBP,27
0.32,0.095055,0.023559,0.01602,0.214722,-0.054381,-0.97516,-0.00708,-0.01198,0.009416,0.99377,0.027247,0.108063,0.001044,4.0,1.0,8.0,MIBP,27
0.33,0.091179,0.023098,0.017029,0.214944,-0.055317,-0.975058,-0.007577,-0.006877,0.008399,0.993744,0.027716,0.108179,0.001072,4.0,1.0,8.0,MIBP,27
