secondsElapsed,wristMotion_rotationRateX,wristMotion_rotationRateY,wristMotion_rotationRateZ,wristMotion_gravityX,wristMotion_gravityY,wristMotion_gravityZ,wristMotion_accelerationX,wristMotion_accelerationY,wristMotion_accelerationZ,wristMotion_quaternionW,wristMotion_quaternionX,wristMotion_quaternionY,wristMotion_quaternionZ,weight,set,reps,activity,activityEncoded
0.0,,,,,,,,,,,,,,5.0,1.0,10.0,IDBC,36
0.01,,,,,,,,,,,,,,5.0,1.0,10.0,IDBC,36
0.02,,,,,,,,,,,,,,5.0,1.0,10.0,IDBC,36
0.03,,,,,,,,,,,,,,5.0,1.0,10.0,IDBC,36
0.04,,,,,,,,,,,,,,5.0,1.0,10.0,IDBC,36
0.05,,,,,,,,,,,,,,5.0,1.0,10.0,IDBC,36
0.06,,,,,,,,,,,,,,5.0,1.0,10.0,IDBC,36
0.07,,,,,,,,,,,,,,5.0,1.0,10.0,IDBC,36
0.08,,,,,,,,,,,,,,5.0,1.0,10.0,IDBC,36
0.09,,,,,,,,,,,,,,5.0,1.0,10.0,IDBC,36
0.1,,,,,,,,,,,,,,5.0,1.0,10.0,IDBC,36
0.11,,,,,,,,,,,,,,5.0,1.0,10.0,IDBC,36
0.12,,,,,,,,,,,,,,5.0,1.0,10.0,IDBC,36
0.13,,,,,,,,,,,,,,5.0,1.0,10.0,IDBC,36
0.14,-1.287981,-0.824897,1.180171,0.225404,-0.02993,-0.973806,0.152694,0.008186,0.199529,0.993408,0.014317,0.113544,0.00654,5.0,1.0,10.0,IDBC,36
0.15,-1.418513,-0.956047,1.23575,0.216435,-0.019319,-0.976106,0.05331,-0.006026,0.19861,0.993921,0.008269,0.108989,0.01322,5.0,1.0,10.0,IDBC,36
0.16,-1.579877,-1.063529,1.468696,0.206384,-0.007602,-0.978442,0.099555,-0.00198,0.198443,0.994383,0.001672,0.103809,0.020596,5.0,1.0,10.0,IDBC,36
0.17,-1.867145,-1.189748,1.740004,0.19538,0.006358,-0.980707,0.194543,-0.024791,0.181131,0.994723,-0.006118,0.098026,0.029653,5.0,1.0,10.0,IDBC,36
0.18,-2.200282,-1.326862,1.683921,0.183265,0.022948,-0.982796,0.277733,-0.169173,0.200447,0.994921,-0.015131,0.091505,0.039127,5.0,1.0,10.0,IDBC,36
0.19,-2.533473,-1.446036,1.744965,0.170139,0.043404,-0.984464,0.213543,-0.196404,0.173047,0.994908,-0.025951,0.08423,0.048876,5.0,1.0,10.0,IDBC,36
0.2,-2.741728,-1.542456,1.86557,0.156386,0.066448,-0.985458,0.256807,-0.169628,0.18866,0.994602,-0.037944,0.076361,0.059134,5.0,1.0,10.0,IDBC,36
0.21,-3.058136,-1.634804,1.993082,0.14225,0.092125,-0.985534,0.313346,-0.155648,0.202316,0.993904,-0.051142,0.067952,0.070155,5.0,1.0,10.0,IDBC,36
0.22,-3.408014,-1.74671,2.091461,0.127785,0.121295,-0.984357,0.334754,-0.188877,0.223111,0.992714,-0.06595,0.058925,0.081832,5.0,1.0,10.0,IDBC,36
0.23,-3.707363,-1.889309,2.223129,0.112831,0.153765,-0.981644,0.35247,-0.206667,0.210938,0.990935,-0.082254,0.049114,0.094179,5.0,1.0,10.0,IDBC,36
0.24,-3.914582,-2.045344,2.340025,0.097458,0.188863,-0.977156,0.401459,-0.196461,0.19174,0.988473,-0.099707,0.03848,0.107234,5.0,1.0,10.0,IDBC,36
0.25,-3.992098,-2.186455,2.459468,0.08176,0.225343,-0.970843,0.431897,-0.153275,0.200137,0.985295,-0.117672,0.027052,0.120894,5.0,1.0,10.0,IDBC,36
0.26,-3.992193,-2.331884,2.613749,0.066042,0.262232,-0.962742,0.438719,-0.110377,0.224156,0.981367,-0.135666,0.014952,0.135243,5.0,1.0,10.0,IDBC,36
0.27,-3.909992,-2.454967,2.778734,0.050666,0.298591,-0.953035,0.441659,-0.084495,0.245745,0.976681,-0.153221,0.002347,0.150375,5.0,1.0,10.0,IDBC,36
0.28,-3.808284,-2.582805,2.921031,0.035818,0.334026,-0.941883,0.435542,-0.095012,0.270359,0.971238,-0.17013,-0.010683,0.166249,5.0,1.0,10.0,IDBC,36
0.29,-3.704774,-2.694416,3.035957,0.021552,0.368375,-0.929427,0.422799,-0.107785,0.291839,0.965049,-0.186293,-0.02411,0.182742,5.0,1.0,10.0,IDBC,36
0.3,-3.662807,-2.756061,3.160618,0.008284,0.401908,-0.915643,0.419435,-0.102179,0.299371,0.958086,-0.201873,-0.037761,0.19973,5.0,1.0,10.0,IDBC,36
0.31,-3.668334,-2.819346,3.312651,-0.003527,0.43514,-0.900356,0.405504,-0.101064,0.323619,0.950243,-0.217182,-0.051519,0.217293,5.0,1.0,10.0,IDBC,36
0.32,-3.820898,-2.845402,3.489833,-0.013381,0.468835,-0.883185,0.388396,-0.126946,0.360266,0.941343,-0.232682,-0.065321,0.235511,5.0,1.0,10.0,IDBC,36
0.33,-3.989892,-2.918917,3.603491,-0.021291,0.50366,-0.863639,0.382101,-0.145598,0.3852,0.931233,-0.248767,-0.079342,0.254215,5.0,1.0,10.0,IDBC,36
