secondsElapsed,wristMotion_rotationRateX,wristMotion_rotationRateY,wristMotion_rotationRateZ,wristMotion_gravityX,wristMotion_gravityY,wristMotion_gravityZ,wristMotion_accelerationX,wristMotion_accelerationY,wristMotion_accelerationZ,wristMotion_quaternionW,wristMotion_quaternionX,wristMotion_quaternionY,wristMotion_quaternionZ,weight,set,reps,activity,activityEncoded
0.0,,,,,,,,,,,,,,32.0,1.0,10.0,NGCR,3
0.01,,,,,,,,,,,,,,32.0,1.0,10.0,NGCR,3
0.02,,,,,,,,,,,,,,32.0,1.0,10.0,NGCR,3
0.03,,,,,,,,,,,,,,32.0,1.0,10.0,NGCR,3
0.04,,,,,,,,,,,,,,32.0,1.0,10.0,NGCR,3
0.05,,,,,,,,,,,,,,32.0,1.0,10.0,NGCR,3
0.06,,,,,,,,,,,,,,32.0,1.0,10.0,NGCR,3
0.07,,,,,,,,,,,,,,32.0,1.0,10.0,NGCR,3
0.08,,,,,,,,,,,,,,32.0,1.0,10.0,NGCR,3
0.09,-2.189122,-0.897305,1.022965,0.22305,0.104558,-0.969183,0.193988,0.017222,0.121878,0.992245,-0.053407,0.112054,0.006371,32.0,1.0,10.0,NGCR,3
0.1,-2.317635,-1.000552,1.093364,0.215036,0.124128,-0.968686,0.20159,0.029146,0.113583,0.992053,-0.063988,0.10753,0.013161,32.0,1.0,10.0,NGCR,3
0.11,-2.40749,-1.097756,1.158003,0.206346,0.144697,-0.967721,0.236586,0.038439,0.113824,0.991688,-0.075059,0.102497,0.020359,32.0,1.0,10.0,NGCR,3
0.12,-2.473591,-1.199589,1.222929,0.197065,0.165968,-0.96624,0.248462,0.052172,0.116707,0.99113,-0.086462,0.096975,0.02796,32.0,1.0,10.0,NGCR,3
0.13,-2.509524,-1.297379,1.296891,0.187216,0.187659,-0.964227,0.258722,0.049722,0.129129,0.990364,-0.098045,0.090958,0.035964,32.0,1.0,10.0,NGCR,3
0.14,-2.540814,-1.381731,1.375098,0.176944,0.209584,-0.961647,0.268552,0.037456,0.138558,0.98937,-0.10971,0.084499,0.0444,32.0,1.0,10.0,NGCR,3
0.15,-2.586169,-1.463769,1.433848,0.166352,0.231821,-0.958429,0.283904,0.020178,0.144647,0.98812,-0.121485,0.077632,0.053223,32.0,1.0,10.0,NGCR,3
0.16,-2.649878,-1.545827,1.490631,0.155495,0.254545,-0.954478,0.284218,0.008563,0.145396,0.986583,-0.133453,0.070365,0.06239,32.0,1.0,10.0,NGCR,3
0.17,-2.708581,-1.621449,1.538758,0.144412,0.277828,-0.949714,0.294492,0.004521,0.150535,0.984729,-0.145644,0.062695,0.071873,32.0,1.0,10.0,NGCR,3
0.18,-2.768794,-1.703579,1.618274,0.133222,0.301617,-0.944076,0.291933,0.009495,0.150481,0.982527,-0.158036,0.054652,0.081717,32.0,1.0,10.0,NGCR,3
0.19,-2.838812,-1.769256,1.698627,0.122079,0.325936,-0.937477,0.30152,-0.003365,0.138023,0.979936,-0.170649,0.046268,0.092001,32.0,1.0,10.0,NGCR,3
0.2,-2.900383,-1.841912,1.769159,0.111077,0.350751,-0.929858,0.313804,-0.008328,0.124621,0.976923,-0.183467,0.037561,0.102711,32.0,1.0,10.0,NGCR,3
0.21,-2.966715,-1.894003,1.799298,0.100249,0.376051,-0.92116,0.310899,0.002443,0.101549,0.973473,-0.196483,0.028539,0.113712,32.0,1.0,10.0,NGCR,3
0.22,-3.02194,-1.943862,1.835196,0.089701,0.401832,-0.911309,0.325384,0.013436,0.084802,0.96957,-0.209701,0.019255,0.124853,32.0,1.0,10.0,NGCR,3
0.23,-3.056552,-1.976797,1.89454,0.079656,0.427836,-0.900339,0.323298,0.019963,0.074976,0.965199,-0.223012,0.009785,0.13624,32.0,1.0,10.0,NGCR,3
0.24,-3.106645,-2.008888,1.932355,0.070282,0.453992,-0.888229,0.319611,0.018542,0.074249,0.960341,-0.236401,0.000197,0.147849,32.0,1.0,10.0,NGCR,3
0.25,-3.160649,-2.068928,1.950741,0.061373,0.480404,-0.874897,0.317839,0.003788,0.06023,0.954979,-0.249917,-0.009627,0.159574,32.0,1.0,10.0,NGCR,3
0.26,-3.200518,-2.130921,1.961874,0.052785,0.506944,-0.860362,0.312328,0.003005,0.039271,0.949111,-0.263493,-0.019769,0.171373,32.0,1.0,10.0,NGCR,3
0.27,-3.228937,-2.185276,1.967619,0.044577,0.533449,-0.844657,0.304666,0.015669,0.029639,0.942742,-0.277055,-0.030199,0.183208,32.0,1.0,10.0,NGCR,3
0.28,-3.22962,-2.236427,1.964567,0.036817,0.559735,-0.827853,0.289981,0.032855,0.017505,0.935889,-0.290521,-0.040873,0.195033,32.0,1.0,10.0,NGCR,3
0.29,-3.197937,-2.273865,1.930195,0.029489,0.58549,-0.810143,0.264151,0.045064,0.009881,0.928615,-0.303728,-0.051745,0.20675,32.0,1.0,10.0,NGCR,3
0.3,-3.116581,-2.284783,1.892498,0.022625,0.610361,-0.7918,0.228535,0.065359,0.005347,0.921014,-0.316491,-0.062716,0.218251,32.0,1.0,10.0,NGCR,3
0.31,-2.993192,-2.26979,1.838846,0.016402,0.633982,-0.773174,0.184724,0.084631,0.018245,0.9132,-0.328629,-0.073595,0.229463,32.0,1.0,10.0,NGCR,3
0.32,-2.826154,-2.230093,1.771824,0.010834,0.656032,-0.754655,0.13388,0.10236,0.027314,0.905308,-0.339961,-0.084255,0.240303,32.0,1.0,10.0,NGCR,3
0.33,-2.630112,-2.16611,1.723222,0.006079,0.676278,-0.736622,0.08056,0.125282,0.031193,0.897456,-0.350367,-0.094512,0.250765,32.0,1.0,10.0,NGCR,3
