secondsElapsed,wristMotion_rotationRateX,wristMotion_rotationRateY,wristMotion_rotationRateZ,wristMotion_gravityX,wristMotion_gravityY,wristMotion_gravityZ,wristMotion_accelerationX,wristMotion_accelerationY,wristMotion_accelerationZ,wristMotion_quaternionW,wristMotion_quaternionX,wristMotion_quaternionY,wristMotion_quaternionZ,weight,set,reps,activity,activityEncoded
0.0,,,,,,,,,,,,,,30.0,2.0,8.0,30BP,39
0.01,,,,,,,,,,,,,,30.0,2.0,8.0,30BP,39
0.02,,,,,,,,,,,,,,30.0,2.0,8.0,30BP,39
0.03,,,,,,,,,,,,,,30.0,2.0,8.0,30BP,39
0.04,,,,,,,,,,,,,,30.0,2.0,8.0,30BP,39
0.05,,,,,,,,,,,,,,30.0,2.0,8.0,30BP,39
0.06,,,,,,,,,,,,,,30.0,2.0,8.0,30BP,39
0.07,,,,,,,,,,,,,,30.0,2.0,8.0,30BP,39
0.08,,,,,,,,,,,,,,30.0,2.0,8.0,30BP,39
0.09,,,,,,,,,,,,,,30.0,2.0,8.0,30BP,39
0.1,,,,,,,,,,,,,,30.0,2.0,8.0,30BP,39
0.11,,,,,,,,,,,,,,30.0,2.0,8.0,30BP,39
0.12,,,,,,,,,,,,,,30.0,2.0,8.0,30BP,39
0.13,,,,,,,,,,,,,,30.0,2.0,8.0,30BP,39
0.14,,,,,,,,,,,,,,30.0,2.0,8.0,30BP,39
0.15,,,,,,,,,,,,,,30.0,2.0,8.0,30BP,39
0.16,,,,,,,,,,,,,,30.0,2.0,8.0,30BP,39
0.17,,,,,,,,,,,,,,30.0,2.0,8.0,30BP,39
0.18,,,,,,,,,,,,,,30.0,2.0,8.0,30BP,39
0.19,0.163681,0.144425,0.134244,0.200117,-0.281663,-0.938413,0.0114,0.023149,-0.015139,0.984482,0.142939,0.101794,0.001089,30.0,2.0,8.0,30BP,39
0.2,0.144558,0.103948,0.170197,0.200806,-0.283441,-0.93773,0.009094,0.039071,-0.016524,0.984308,0.143787,0.102274,0.001855,30.0,2.0,8.0,30BP,39
0.21,0.116968,0.051588,0.199705,0.200979,-0.285057,-0.937203,0.008143,0.062813,-0.002891,0.984172,0.144533,0.102511,0.002761,30.0,2.0,8.0,30BP,39
0.22,0.069082,-0.00485,0.238615,0.200588,-0.286379,-0.936884,0.010609,0.08214,0.001413,0.984087,0.14511,0.102476,0.003798,30.0,2.0,8.0,30BP,39
0.23,-0.008331,-0.068854,0.290076,0.199552,-0.287179,-0.93686,0.019915,0.088129,0.015657,0.984076,0.145389,0.102137,0.005051,30.0,2.0,8.0,30BP,39
0.24,-0.11614,-0.1424,0.356308,0.197709,-0.287311,-0.937211,0.03508,0.086978,0.033173,0.984156,0.145288,0.10142,0.006597,30.0,2.0,8.0,30BP,39
0.25,-0.234046,-0.219854,0.426876,0.194931,-0.286486,-0.938045,0.05719,0.09038,0.04771,0.984353,0.144655,0.100262,0.008485,30.0,2.0,8.0,30BP,39
0.26,-0.352459,-0.293225,0.479146,0.191279,-0.284649,-0.939355,0.084111,0.099209,0.079125,0.984664,0.14347,0.098686,0.010682,30.0,2.0,8.0,30BP,39
0.27,-0.489717,-0.367889,0.518036,0.186799,-0.281675,-0.941151,0.112121,0.103681,0.10735,0.985091,0.141682,0.096699,0.01311,30.0,2.0,8.0,30BP,39
0.28,-0.647473,-0.438692,0.578288,0.181513,-0.27736,-0.943464,0.134009,0.095963,0.135694,0.985638,0.13919,0.094308,0.015788,30.0,2.0,8.0,30BP,39
0.29,-0.833638,-0.50875,0.663841,0.175365,-0.271508,-0.946325,0.143452,0.077996,0.165899,0.98631,0.135888,0.091499,0.018862,30.0,2.0,8.0,30BP,39
0.3,-1.070932,-0.592262,0.777873,0.168259,-0.263758,-0.9498,0.142181,0.058588,0.191973,0.987115,0.131591,0.088224,0.022478,30.0,2.0,8.0,30BP,39
0.31,-1.372353,-0.693938,0.911477,0.16,-0.253566,-0.953994,0.140446,0.045344,0.215591,0.988069,0.126029,0.084379,0.026756,30.0,2.0,8.0,30BP,39
0.32,-1.749992,-0.830842,1.063319,0.150314,-0.240234,-0.959007,0.144867,0.035537,0.242271,0.989187,0.118863,0.079802,0.031818,30.0,2.0,8.0,30BP,39
0.33,-2.244355,-0.983034,1.218344,0.138945,-0.222729,-0.964928,0.148699,0.031643,0.279595,0.990475,0.109605,0.074315,0.037725,30.0,2.0,8.0,30BP,39
0.34,-2.798036,-1.112472,1.374686,0.12604,-0.200029,-0.971649,0.150464,0.041703,0.336838,0.991889,0.097784,0.067924,0.04451,30.0,2.0,8.0,30BP,39
0.35,-3.369249,-1.241889,1.515797,0.111884,-0.171615,-0.97879,0.144128,0.038955,0.388046,0.993315,0.083198,0.060687,0.052158,30.0,2.0,8.0,30BP,39
0.36,-3.876361,-1.388512,1.667031,0.096529,-0.137569,-0.985777,0.142164,0.02824,0.411955,0.994592,0.065956,0.052547,0.060619,30.0,2.0,8.0,30BP,39
0.37,-4.266378,-1.567801,1.821742,0.079853,-0.098699,-0.991908,0.151471,0.026311,0.430171,0.995525,0.046527,0.043372,0.069882,30.0,2.0,8.0,30BP,39
0.38,-4.514413,-1.77088,1.938437,0.061801,-0.056223,-0.996504,0.174664,0.049616,0.425413,0.995932,0.025576,0.033076,0.079816,30.0,2.0,8.0,30BP,39
0.39,-4.623377,-1.967411,2.01519,0.042454,-0.011503,-0.999032,0.206508,0.103147,0.405542,0.995683,0.003814,0.021664,0.090179,30.0,2.0,8.0,30BP,39
0.4,-4.599524,-2.144995,2.064903,0.022097,0.034065,-0.999175,0.241133,0.171944,0.377166,0.994702,-0.018063,0.009277,0.100778,30.0,2.0,8.0,30BP,39
0.41,-4.473779,-2.308138,2.124839,0.001025,0.079223,-0.996856,0.272687,0.223557,0.355438,0.992964,-0.039452,-0.003917,0.111586,30.0,2.0,8.0,30BP,39
0.42,-4.298875,-2.449198,2.213813,-0.02047,0.123137,-0.992178,0.293312,0.248231,0.327307,0.99047,-0.059961,-0.017762,0.122711,30.0,2.0,8.0,30BP,39
0.43,-4.131719,-2.55807,2.324213,-0.042003,0.165575,-0.985302,0.302333,0.242231,0.308148,0.987227,-0.079494,-0.032087,0.134294,30.0,2.0,8.0,30BP,39
0.44,-4.023042,-2.616122,2.417493,-0.063015,0.206854,-0.97634,0.29971,0.21676,0.302314,0.983235,-0.098244,-0.046668,0.146354,30.0,2.0,8.0,30BP,39
0.45,-4.001245,-2.657623,2.4671,-0.083095,0.247611,-0.96529,0.286601,0.18551,0.294544,0.978499,-0.116573,-0.061367,0.158699,30.0,2.0,8.0,30BP,39
