secondsElapsed,wristMotion_rotationRateX,wristMotion_rotationRateY,wristMotion_rotationRateZ,wristMotion_gravityX,wristMotion_gravityY,wristMotion_gravityZ,wristMotion_accelerationX,wristMotion_accelerationY,wristMotion_accelerationZ,wristMotion_quaternionW,wristMotion_quaternionX,wristMotion_quaternionY,wristMotion_quaternionZ,weight,set,reps,activity,activityEncoded
0.0,,,,,,,,,,,,,,18.0,1.0,12.0,MTE,22
0.01,,,,,,,,,,,,,,18.0,1.0,12.0,MTE,22
0.02,,,,,,,,,,,,,,18.0,1.0,12.0,MTE,22
0.03,,,,,,,,,,,,,,18.0,1.0,12.0,MTE,22
0.04,,,,,,,,,,,,,,18.0,1.0,12.0,MTE,22
0.05,,,,,,,,,,,,,,18.0,1.0,12.0,MTE,22
0.06,,,,,,,,,,,,,,18.0,1.0,12.0,MTE,22
0.07,,,,,,,,,,,,,,18.0,1.0,12.0,MTE,22
0.08,,,,,,,,,,,,,,18.0,1.0,12.0,MTE,22
0.09,,,,,,,,,,,,,,18.0,1.0,12.0,MTE,22
0.1,,,,,,,,,,,,,,18.0,1.0,12.0,MTE,22
0.11,,,,,,,,,,,,,,18.0,1.0,12.0,MTE,22
0.12,,,,,,,,,,,,,,18.0,1.0,12.0,MTE,22
0.13,,,,,,,,,,,,,,18.0,1.0,12.0,MTE,22
0.14,,,,,,,,,,,,,,18.0,1.0,12.0,MTE,22
0.15,,,,,,,,,,,,,,18.0,1.0,12.0,MTE,22
0.16,0.07284,-0.004539,-0.004344,-0.028052,0.078874,-0.99649,-0.017496,0.039183,0.004684,0.999122,-0.039472,-0.014038,-0.0,18.0,1.0,12.0,MTE,22
0.17,0.058854,0.000247,0.008375,-0.028063,0.078204,-0.996542,-0.016554,0.037122,0.012473,0.999135,-0.039135,-0.014045,2e-05,18.0,1.0,12.0,MTE,22
0.18,0.029986,-0.001249,-0.000994,-0.028079,0.077755,-0.996577,-0.013212,0.019688,0.021327,0.999144,-0.03891,-0.014053,3.4e-05,18.0,1.0,12.0,MTE,22
0.19,0.006502,-0.007651,0.006184,-0.028122,0.077575,-0.99659,-0.006057,0.00322,0.023735,0.999147,-0.03882,-0.014075,4.1e-05,18.0,1.0,12.0,MTE,22
0.2,-0.00343,-0.004138,0.020384,-0.028156,0.077557,-0.99659,-0.002728,-0.009259,0.01722,0.999147,-0.03881,-0.014094,0.000108,18.0,1.0,12.0,MTE,22
0.21,-0.004925,-0.004217,0.024383,-0.028176,0.077598,-0.996587,-0.001182,-0.012519,0.011678,0.999146,-0.038829,-0.014109,0.000224,18.0,1.0,12.0,MTE,22
0.22,-0.011125,-0.00623,0.015814,-0.028206,0.077682,-0.996579,-0.001137,-0.011123,0.011136,0.999144,-0.03887,-0.014127,0.000319,18.0,1.0,12.0,MTE,22
0.23,-0.016532,-0.009171,-0.00539,-0.028296,0.077851,-0.996563,0.000113,-0.012391,0.005063,0.99914,-0.038954,-0.014174,0.000354,18.0,1.0,12.0,MTE,22
0.24,-0.002137,-0.014647,-0.00784,-0.028403,0.077952,-0.996552,-0.006235,-0.005625,-0.001159,0.999138,-0.039005,-0.014226,0.000318,18.0,1.0,12.0,MTE,22
0.25,0.023247,-0.017918,-0.015373,-0.028574,0.077849,-0.996556,-0.010976,0.004899,-0.004146,0.999139,-0.038954,-0.01431,0.000263,18.0,1.0,12.0,MTE,22
0.26,0.034854,-0.017902,-0.016591,-0.028761,0.077552,-0.996573,-0.010012,0.012109,-0.000299,0.999143,-0.038807,-0.0144,0.00019,18.0,1.0,12.0,MTE,22
0.27,0.034642,-0.014537,-0.023743,-0.02894,0.077207,-0.996595,-0.006933,0.009921,0.001707,0.999148,-0.038635,-0.014486,9.4e-05,18.0,1.0,12.0,MTE,22
0.28,0.030416,-0.018635,-0.026592,-0.029118,0.076875,-0.996615,-0.003887,0.001601,0.005847,0.999153,-0.038471,-0.01457,-2.8e-05,18.0,1.0,12.0,MTE,22
0.29,0.024542,-0.017492,-0.015342,-0.029321,0.076581,-0.996632,-0.004599,-0.004529,0.009205,0.999158,-0.038325,-0.014668,-0.000139,18.0,1.0,12.0,MTE,22
0.3,0.014399,-0.020175,-0.006759,-0.029525,0.076371,-0.996642,-0.005143,-0.006196,0.010924,0.99916,-0.038221,-0.014768,-0.000192,18.0,1.0,12.0,MTE,22
0.31,-0.004954,-0.018401,-0.007798,-0.029716,0.076321,-0.99664,0.000358,-0.007122,0.011274,0.99916,-0.038196,-0.014862,-0.000216,18.0,1.0,12.0,MTE,22
0.32,-0.012361,-0.016233,-0.005685,-0.034563,0.072457,-0.996772,0.008669,-0.006569,0.0084,0.999193,-0.036264,-0.017282,-0.000362,18.0,1.0,12.0,MTE,22
0.33,-0.019389,-0.023753,-0.001321,-0.037129,0.077487,-0.996302,0.008534,-0.01134,0.004313,0.999075,-0.038787,-0.018567,-0.000374,18.0,1.0,12.0,MTE,22
0.34,-0.02454,-0.025563,0.008039,-0.037886,0.081695,-0.995937,0.007734,-0.011901,0.004558,0.998984,-0.040895,-0.018949,-0.000321,18.0,1.0,12.0,MTE,22
