secondsElapsed,wristMotion_rotationRateX,wristMotion_rotationRateY,wristMotion_rotationRateZ,wristMotion_gravityX,wristMotion_gravityY,wristMotion_gravityZ,wristMotion_accelerationX,wristMotion_accelerationY,wristMotion_accelerationZ,wristMotion_quaternionW,wristMotion_quaternionX,wristMotion_quaternionY,wristMotion_quaternionZ,weight,set,reps,activity,activityEncoded
0.0,,,,,,,,,,,,,,71.0,3.0,2.0,APULL,28
0.01,,,,,,,,,,,,,,71.0,3.0,2.0,APULL,28
0.02,,,,,,,,,,,,,,71.0,3.0,2.0,APULL,28
0.03,,,,,,,,,,,,,,71.0,3.0,2.0,APULL,28
0.04,,,,,,,,,,,,,,71.0,3.0,2.0,APULL,28
0.05,,,,,,,,,,,,,,71.0,3.0,2.0,APULL,28
0.06,,,,,,,,,,,,,,71.0,3.0,2.0,APULL,28
0.07,,,,,,,,,,,,,,71.0,3.0,2.0,APULL,28
0.08,,,,,,,,,,,,,,71.0,3.0,2.0,APULL,28
0.09,,,,,,,,,,,,,,71.0,3.0,2.0,APULL,28
0.1,,,,,,,,,,,,,,71.0,3.0,2.0,APULL,28
0.11,,,,,,,,,,,,,,71.0,3.0,2.0,APULL,28
0.12,,,,,,,,,,,,,,71.0,3.0,2.0,APULL,28
0.13,,,,,,,,,,,,,,71.0,3.0,2.0,APULL,28
0.14,,,,,,,,,,,,,,71.0,3.0,2.0,APULL,28
0.15,,,,,,,,,,,,,,71.0,3.0,2.0,APULL,28
0.16,-0.115741,0.009419,0.023869,0.044124,-0.686693,-0.725608,0.002232,-0.027892,0.008887,0.928872,0.369638,0.023751,0.0,71.0,3.0,2.0,APULL,28
0.17,-0.131892,-0.00759,0.035983,0.043936,-0.685788,-0.726474,-0.007605,-0.021976,0.007312,0.929106,0.369055,0.0237,0.000141,71.0,3.0,2.0,APULL,28
0.18,-0.093798,-0.004412,0.059914,0.043554,-0.684962,-0.727276,-0.011373,0.012232,0.00935,0.929321,0.368519,0.023576,0.00036,71.0,3.0,2.0,APULL,28
0.19,-0.035398,-0.004688,0.068748,0.043053,-0.684523,-0.727719,-0.010934,0.029936,0.009747,0.92944,0.368228,0.023423,0.000662,71.0,3.0,2.0,APULL,28
0.2,-0.014231,-0.002358,0.069109,0.042555,-0.684381,-0.727881,-0.008558,0.02096,0.007651,0.929484,0.368127,0.023281,0.000984,71.0,3.0,2.0,APULL,28
0.21,-0.030601,-0.004912,0.053112,0.042103,-0.684254,-0.728027,-0.004719,0.00594,0.00531,0.929523,0.368036,0.023148,0.001263,71.0,3.0,2.0,APULL,28
