secondsElapsed,wristMotion_rotationRateX,wristMotion_rotationRateY,wristMotion_rotationRateZ,wristMotion_gravityX,wristMotion_gravityY,wristMotion_gravityZ,wristMotion_accelerationX,wristMotion_accelerationY,wristMotion_accelerationZ,wristMotion_quaternionW,wristMotion_quaternionX,wristMotion_quaternionY,wristMotion_quaternionZ,weight,set,reps,activity,activityEncoded
0.0,,,,,,,,,,,,,,83.0,4.0,4.0,APULL,28
0.01,,,,,,,,,,,,,,83.0,4.0,4.0,APULL,28
0.02,,,,,,,,,,,,,,83.0,4.0,4.0,APULL,28
0.03,,,,,,,,,,,,,,83.0,4.0,4.0,APULL,28
0.04,,,,,,,,,,,,,,83.0,4.0,4.0,APULL,28
0.05,,,,,,,,,,,,,,83.0,4.0,4.0,APULL,28
0.06,,,,,,,,,,,,,,83.0,4.0,4.0,APULL,28
0.07,,,,,,,,,,,,,,83.0,4.0,4.0,APULL,28
0.08,,,,,,,,,,,,,,83.0,4.0,4.0,APULL,28
0.09,,,,,,,,,,,,,,83.0,4.0,4.0,APULL,28
0.1,,,,,,,,,,,,,,83.0,4.0,4.0,APULL,28
0.11,,,,,,,,,,,,,,83.0,4.0,4.0,APULL,28
0.12,,,,,,,,,,,,,,83.0,4.0,4.0,APULL,28
0.13,,,,,,,,,,,,,,83.0,4.0,4.0,APULL,28
0.14,,,,,,,,,,,,,,83.0,4.0,4.0,APULL,28
0.15,,,,,,,,,,,,,,83.0,4.0,4.0,APULL,28
0.16,,,,,,,,,,,,,,83.0,4.0,4.0,APULL,28
0.17,,,,,,,,,,,,,,83.0,4.0,4.0,APULL,28
0.18,,,,,,,,,,,,,,83.0,4.0,4.0,APULL,28
0.19,,,,,,,,,,,,,,83.0,4.0,4.0,APULL,28
0.2,,,,,,,,,,,,,,83.0,4.0,4.0,APULL,28
0.21,,,,,,,,,,,,,,83.0,4.0,4.0,APULL,28
0.22,-0.02824,-0.003622,-0.009251,0.132109,-0.318066,-0.938819,-0.00833,-0.000828,0.017768,0.984586,0.161523,0.067089,-0.0,83.0,4.0,4.0,APULL,28
0.23,-0.026192,0.00168,-0.016336,0.132144,-0.31779,-0.938908,-0.009387,0.000224,0.017963,0.984608,0.161382,0.067096,-5.3e-05,83.0,4.0,4.0,APULL,28
0.24,-0.025875,0.006131,-0.01911,0.132236,-0.317514,-0.938988,-0.009845,-0.001135,0.018242,0.984629,0.161244,0.06713,-0.000121,83.0,4.0,4.0,APULL,28
0.25,-0.02786,0.016812,-0.026232,0.13241,-0.317225,-0.939061,-0.010599,-0.000493,0.014668,0.984647,0.161101,0.067201,-0.00022,83.0,4.0,4.0,APULL,28
0.26,-0.025036,0.016667,-0.024494,0.132641,-0.316947,-0.939122,-0.012386,0.000205,0.008642,0.984663,0.160964,0.067301,-0.000318,83.0,4.0,4.0,APULL,28
