secondsElapsed,wristMotion_rotationRateX,wristMotion_rotationRateY,wristMotion_rotationRateZ,wristMotion_gravityX,wristMotion_gravityY,wristMotion_gravityZ,wristMotion_accelerationX,wristMotion_accelerationY,wristMotion_accelerationZ,wristMotion_quaternionW,wristMotion_quaternionX,wristMotion_quaternionY,wristMotion_quaternionZ,weight,set,reps,activity,activityEncoded
0.0,,,,,,,,,,,,,,52.0,2.0,14.0,CGCR,2
0.01,,,,,,,,,,,,,,52.0,2.0,14.0,CGCR,2
0.02,,,,,,,,,,,,,,52.0,2.0,14.0,CGCR,2
0.03,,,,,,,,,,,,,,52.0,2.0,14.0,CGCR,2
0.04,,,,,,,,,,,,,,52.0,2.0,14.0,CGCR,2
0.05,,,,,,,,,,,,,,52.0,2.0,14.0,CGCR,2
0.06,,,,,,,,,,,,,,52.0,2.0,14.0,CGCR,2
0.07,,,,,,,,,,,,,,52.0,2.0,14.0,CGCR,2
0.08,,,,,,,,,,,,,,52.0,2.0,14.0,CGCR,2
0.09,,,,,,,,,,,,,,52.0,2.0,14.0,CGCR,2
0.1,,,,,,,,,,,,,,52.0,2.0,14.0,CGCR,2
0.11,,,,,,,,,,,,,,52.0,2.0,14.0,CGCR,2
0.12,,,,,,,,,,,,,,52.0,2.0,14.0,CGCR,2
0.13,,,,,,,,,,,,,,52.0,2.0,14.0,CGCR,2
0.14,,,,,,,,,,,,,,52.0,2.0,14.0,CGCR,2
0.15,,,,,,,,,,,,,,52.0,2.0,14.0,CGCR,2
0.16,,,,,,,,,,,,,,52.0,2.0,14.0,CGCR,2
0.17,,,,,,,,,,,,,,52.0,2.0,14.0,CGCR,2
0.18,,,,,,,,,,,,,,52.0,2.0,14.0,CGCR,2
0.19,,,,,,,,,,,,,,52.0,2.0,14.0,CGCR,2
0.2,,,,,,,,,,,,,,52.0,2.0,14.0,CGCR,2
0.21,,,,,,,,,,,,,,52.0,2.0,14.0,CGCR,2
0.22,0.033041,0.056647,0.00829,0.125231,0.07174,-0.989531,-0.006685,-0.002205,0.018248,0.997379,-0.035964,0.06278,0.0,52.0,2.0,14.0,CGCR,2
0.23,0.04148,0.0673,0.00816,0.125872,0.071353,-0.989477,-0.01256,-0.000629,0.019522,0.997366,-0.035772,0.063102,2.2e-05,52.0,2.0,14.0,CGCR,2
0.24,0.049414,0.073108,0.001659,0.126576,0.070911,-0.989419,-0.016285,0.009167,0.023965,0.997351,-0.035551,0.063455,2.4e-05,52.0,2.0,14.0,CGCR,2
0.25,0.054029,0.074843,0.000968,0.127315,0.070388,-0.989362,-0.014339,0.014116,0.020139,0.997337,-0.035288,0.063827,9e-06,52.0,2.0,14.0,CGCR,2
0.26,0.045248,0.070542,0.00068,0.128055,0.069895,-0.989301,-0.011081,0.010245,0.015485,0.997322,-0.035041,0.0642,-8e-06,52.0,2.0,14.0,CGCR,2
0.27,0.035,0.06693,-0.001891,0.128752,0.069488,-0.989239,-0.008421,0.008424,0.010006,0.997306,-0.034835,0.064551,-3.8e-05,52.0,2.0,14.0,CGCR,2
0.28,0.025429,0.058431,-0.008039,0.129378,0.069186,-0.989179,-0.010985,0.009321,0.008405,0.997291,-0.034681,0.064868,-8.9e-05,52.0,2.0,14.0,CGCR,2
0.29,0.027861,0.059264,-0.008585,0.12996,0.068939,-0.98912,-0.010819,0.010544,0.006698,0.997276,-0.034554,0.065163,-0.000153,52.0,2.0,14.0,CGCR,2
0.3,0.030547,0.056036,-0.005824,0.130526,0.068637,-0.989066,-0.010943,0.012387,0.009055,0.997263,-0.034399,0.065449,-0.000211,52.0,2.0,14.0,CGCR,2
0.31,0.030712,0.054672,-0.010511,0.131071,0.068336,-0.989015,-0.011519,0.012658,0.011537,0.99725,-0.034244,0.065726,-0.000272,52.0,2.0,14.0,CGCR,2
0.32,0.028723,0.049857,-0.007545,0.131591,0.068057,-0.988965,-0.012237,0.008054,0.009946,0.997237,-0.034101,0.065989,-0.000336,52.0,2.0,14.0,CGCR,2
0.33,0.031075,0.044062,-0.007978,0.132045,0.067773,-0.988924,-0.011959,0.007544,0.010332,0.997227,-0.033955,0.06622,-0.000392,52.0,2.0,14.0,CGCR,2
0.34,0.041653,0.041631,-0.00851,0.132461,0.067434,-0.988892,-0.013138,0.014353,0.008637,0.997219,-0.033781,0.066431,-0.000454,52.0,2.0,14.0,CGCR,2
