secondsElapsed,wristMotion_rotationRateX,wristMotion_rotationRateY,wristMotion_rotationRateZ,wristMotion_gravityX,wristMotion_gravityY,wristMotion_gravityZ,wristMotion_accelerationX,wristMotion_accelerationY,wristMotion_accelerationZ,wristMotion_quaternionW,wristMotion_quaternionX,wristMotion_quaternionY,wristMotion_quaternionZ,weight,set,reps,activity,activityEncoded
0.0,,,,,,,,,,,,,,13.0,3.0,10.0,MSP,18
0.01,,,,,,,,,,,,,,13.0,3.0,10.0,MSP,18
0.02,,,,,,,,,,,,,,13.0,3.0,10.0,MSP,18
0.03,,,,,,,,,,,,,,13.0,3.0,10.0,MSP,18
0.04,,,,,,,,,,,,,,13.0,3.0,10.0,MSP,18
0.05,,,,,,,,,,,,,,13.0,3.0,10.0,MSP,18
0.06,,,,,,,,,,,,,,13.0,3.0,10.0,MSP,18
0.07,,,,,,,,,,,,,,13.0,3.0,10.0,MSP,18
0.08,,,,,,,,,,,,,,13.0,3.0,10.0,MSP,18
0.09,,,,,,,,,,,,,,13.0,3.0,10.0,MSP,18
0.1,,,,,,,,,,,,,,13.0,3.0,10.0,MSP,18
0.11,,,,,,,,,,,,,,13.0,3.0,10.0,MSP,18
0.12,,,,,,,,,,,,,,13.0,3.0,10.0,MSP,18
0.13,,,,,,,,,,,,,,13.0,3.0,10.0,MSP,18
0.14,,,,,,,,,,,,,,13.0,3.0,10.0,MSP,18
0.15,,,,,,,,,,,,,,13.0,3.0,10.0,MSP,18
0.16,,,,,,,,,,,,,,13.0,3.0,10.0,MSP,18
0.17,,,,,,,,,,,,,,13.0,3.0,10.0,MSP,18
0.18,,,,,,,,,,,,,,13.0,3.0,10.0,MSP,18
0.19,,,,,,,,,,,,,,13.0,3.0,10.0,MSP,18
0.2,,,,,,,,,,,,,,13.0,3.0,10.0,MSP,18
0.21,,,,,,,,,,,,,,13.0,3.0,10.0,MSP,18
0.22,,,,,,,,,,,,,,13.0,3.0,10.0,MSP,18
0.23,,,,,,,,,,,,,,13.0,3.0,10.0,MSP,18
0.24,,,,,,,,,,,,,,13.0,3.0,10.0,MSP,18
0.25,,,,,,,,,,,,,,13.0,3.0,10.0,MSP,18
0.26,,,,,,,,,,,,,,13.0,3.0,10.0,MSP,18
0.27,,,,,,,,,,,,,,13.0,3.0,10.0,MSP,18
0.28,,,,,,,,,,,,,,13.0,3.0,10.0,MSP,18
0.29,,,,,,,,,,,,,,13.0,3.0,10.0,MSP,18
0.3,,,,,,,,,,,,,,13.0,3.0,10.0,MSP,18
0.31,-0.011907,-0.015299,0.061377,0.074165,-0.130845,-0.988625,0.011376,-0.013915,-0.000465,0.997152,0.065598,0.037209,0.000307,13.0,3.0,10.0,MSP,18
