secondsElapsed,wristMotion_rotationRateX,wristMotion_rotationRateY,wristMotion_rotationRateZ,wristMotion_gravityX,wristMotion_gravityY,wristMotion_gravityZ,wristMotion_accelerationX,wristMotion_accelerationY,wristMotion_accelerationZ,wristMotion_quaternionW,wristMotion_quaternionX,wristMotion_quaternionY,wristMotion_quaternionZ,weight,set,reps,activity,activityEncoded
0.0,,,,,,,,,,,,,,10.0,1.0,8.0,30DBP,11
0.01,,,,,,,,,,,,,,10.0,1.0,8.0,30DBP,11
0.02,,,,,,,,,,,,,,10.0,1.0,8.0,30DBP,11
0.03,,,,,,,,,,,,,,10.0,1.0,8.0,30DBP,11
0.04,,,,,,,,,,,,,,10.0,1.0,8.0,30DBP,11
0.05,,,,,,,,,,,,,,10.0,1.0,8.0,30DBP,11
0.06,,,,,,,,,,,,,,10.0,1.0,8.0,30DBP,11
0.07,,,,,,,,,,,,,,10.0,1.0,8.0,30DBP,11
0.08,,,,,,,,,,,,,,10.0,1.0,8.0,30DBP,11
0.09,,,,,,,,,,,,,,10.0,1.0,8.0,30DBP,11
0.1,,,,,,,,,,,,,,10.0,1.0,8.0,30DBP,11
0.11,,,,,,,,,,,,,,10.0,1.0,8.0,30DBP,11
0.12,,,,,,,,,,,,,,10.0,1.0,8.0,30DBP,11
0.13,,,,,,,,,,,,,,10.0,1.0,8.0,30DBP,11
0.14,,,,,,,,,,,,,,10.0,1.0,8.0,30DBP,11
0.15,,,,,,,,,,,,,,10.0,1.0,8.0,30DBP,11
0.16,,,,,,,,,,,,,,10.0,1.0,8.0,30DBP,11
0.17,,,,,,,,,,,,,,10.0,1.0,8.0,30DBP,11
0.18,,,,,,,,,,,,,,10.0,1.0,8.0,30DBP,11
0.19,,,,,,,,,,,,,,10.0,1.0,8.0,30DBP,11
0.2,,,,,,,,,,,,,,10.0,1.0,8.0,30DBP,11
0.21,,,,,,,,,,,,,,10.0,1.0,8.0,30DBP,11
0.22,,,,,,,,,,,,,,10.0,1.0,8.0,30DBP,11
0.23,,,,,,,,,,,,,,10.0,1.0,8.0,30DBP,11
0.24,,,,,,,,,,,,,,10.0,1.0,8.0,30DBP,11
0.25,,,,,,,,,,,,,,10.0,1.0,8.0,30DBP,11
0.26,,,,,,,,,,,,,,10.0,1.0,8.0,30DBP,11
0.27,,,,,,,,,,,,,,10.0,1.0,8.0,30DBP,11
0.28,,,,,,,,,,,,,,10.0,1.0,8.0,30DBP,11
0.29,,,,,,,,,,,,,,10.0,1.0,8.0,30DBP,11
0.3,-0.07221,0.018065,0.036271,0.080949,-0.06004,-0.994908,-0.008042,-0.00687,0.00565,0.998726,0.030058,0.040526,0.0,10.0,1.0,8.0,30DBP,11
0.31,-0.071292,0.016806,0.031002,0.081112,-0.059354,-0.994936,-0.010662,-0.01015,0.008501,0.998733,0.029707,0.040613,0.000191,10.0,1.0,8.0,30DBP,11
0.32,-0.070019,0.022183,0.031722,0.08129,-0.058667,-0.994962,-0.009269,-0.011585,0.008405,0.99874,0.029355,0.040707,0.000377,10.0,1.0,8.0,30DBP,11
0.33,-0.0594,0.023978,0.027495,0.081491,-0.058032,-0.994983,-0.008829,-0.013608,0.009815,0.998745,0.02903,0.040813,0.000546,10.0,1.0,8.0,30DBP,11
0.34,-0.044952,0.028622,0.027095,0.081737,-0.057545,-0.994991,-0.008266,-0.011836,0.011059,0.998747,0.02878,0.04094,0.000694,10.0,1.0,8.0,30DBP,11
0.35,-0.02583,0.030757,0.027809,0.08202,-0.057209,-0.994987,-0.002598,-0.013424,0.01197,0.998746,0.028605,0.041086,0.000847,10.0,1.0,8.0,30DBP,11
0.36,-0.012381,0.028815,0.030564,0.082291,-0.057054,-0.994974,-0.003632,-0.009108,0.011987,0.998742,0.028522,0.041226,0.001002,10.0,1.0,8.0,30DBP,11
0.37,-0.006983,0.028803,0.041089,0.08256,-0.056985,-0.994956,-0.00178,-0.001822,0.012946,0.998737,0.02848,0.041366,0.001179,10.0,1.0,8.0,30DBP,11
0.38,-0.011225,0.030925,0.047818,0.082845,-0.056952,-0.994934,-0.00266,-0.010843,0.009216,0.998732,0.028454,0.041515,0.001409,10.0,1.0,8.0,30DBP,11
