secondsElapsed,wristMotion_rotationRateX,wristMotion_rotationRateY,wristMotion_rotationRateZ,wristMotion_gravityX,wristMotion_gravityY,wristMotion_gravityZ,wristMotion_accelerationX,wristMotion_accelerationY,wristMotion_accelerationZ,wristMotion_quaternionW,wristMotion_quaternionX,wristMotion_quaternionY,wristMotion_quaternionZ,weight,set,reps,activity,activityEncoded
0.0,,,,,,,,,,,,,,18.0,1.0,12.0,MTE,22
0.01,,,,,,,,,,,,,,18.0,1.0,12.0,MTE,22
0.02,,,,,,,,,,,,,,18.0,1.0,12.0,MTE,22
0.03,,,,,,,,,,,,,,18.0,1.0,12.0,MTE,22
0.04,,,,,,,,,,,,,,18.0,1.0,12.0,MTE,22
0.05,,,,,,,,,,,,,,18.0,1.0,12.0,MTE,22
0.06,,,,,,,,,,,,,,18.0,1.0,12.0,MTE,22
0.07,,,,,,,,,,,,,,18.0,1.0,12.0,MTE,22
0.08,,,,,,,,,,,,,,18.0,1.0,12.0,MTE,22
0.09,,,,,,,,,,,,,,18.0,1.0,12.0,MTE,22
0.1,,,,,,,,,,,,,,18.0,1.0,12.0,MTE,22
0.11,,,,,,,,,,,,,,18.0,1.0,12.0,MTE,22
0.12,,,,,,,,,,,,,,18.0,1.0,12.0,MTE,22
0.13,,,,,,,,,,,,,,18.0,1.0,12.0,MTE,22
0.14,,,,,,,,,,,,,,18.0,1.0,12.0,MTE,22
0.15,,,,,,,,,,,,,,18.0,1.0,12.0,MTE,22
0.16,,,,,,,,,,,,,,18.0,1.0,12.0,MTE,22
0.17,,,,,,,,,,,,,,18.0,1.0,12.0,MTE,22
0.18,,,,,,,,,,,,,,18.0,1.0,12.0,MTE,22
0.19,,,,,,,,,,,,,,18.0,1.0,12.0,MTE,22
0.2,,,,,,,,,,,,,,18.0,1.0,12.0,MTE,22
0.21,,,,,,,,,,,,,,18.0,1.0,12.0,MTE,22
0.22,,,,,,,,,,,,,,18.0,1.0,12.0,MTE,22
0.23,,,,,,,,,,,,,,18.0,1.0,12.0,MTE,22
0.24,,,,,,,,,,,,,,18.0,1.0,12.0,MTE,22
0.25,,,,,,,,,,,,,,18.0,1.0,12.0,MTE,22
0.26,0.226825,-0.107437,0.133408,0.086599,-0.266854,-0.959838,-0.106726,0.089913,0.020431,0.989908,0.134741,0.043882,0.001037,18.0,1.0,12.0,MTE,22
0.27,0.140221,-0.13503,0.14865,0.085153,-0.268918,-0.959391,-0.049066,0.010236,0.005092,0.989794,0.135774,0.04324,0.001632,18.0,1.0,12.0,MTE,22
0.28,-0.01134,-0.174739,0.101607,0.083365,-0.269827,-0.959293,0.034784,-0.035837,0.009968,0.989769,0.136216,0.04241,0.002157,18.0,1.0,12.0,MTE,22
0.29,-0.114448,-0.197988,0.045816,0.081405,-0.269433,-0.959572,0.05037,-0.04296,0.015633,0.989839,0.135999,0.04145,0.0024,18.0,1.0,12.0,MTE,22
0.3,-0.160319,-0.210734,0.058927,0.079321,-0.26806,-0.960131,0.021891,-0.023963,0.008334,0.98998,0.135283,0.040407,0.002528,18.0,1.0,12.0,MTE,22
0.31,-0.115503,-0.210384,0.10006,0.077136,-0.266694,-0.96069,-0.000155,0.000245,-0.002079,0.99012,0.134566,0.039334,0.002806,18.0,1.0,12.0,MTE,22
0.32,-0.029991,-0.189832,0.102422,0.075061,-0.266155,-0.961003,-0.003879,0.019726,0.007604,0.990198,0.134272,0.038334,0.003186,18.0,1.0,12.0,MTE,22
0.33,0.028785,-0.164105,0.09545,0.072982,-0.266048,-0.961193,-0.000533,0.027446,0.018932,0.990244,0.1342,0.037333,0.003559,18.0,1.0,12.0,MTE,22
0.34,0.015795,-0.152576,0.094387,0.070938,-0.2661,-0.961332,0.010528,0.007967,0.018094,0.990278,0.134212,0.03635,0.003933,18.0,1.0,12.0,MTE,22
0.35,-0.046439,-0.160609,0.100138,0.069073,-0.266016,-0.961491,0.016163,-0.012167,0.009037,0.990317,0.134154,0.035459,0.004318,18.0,1.0,12.0,MTE,22
0.36,-0.100117,-0.174774,0.096293,0.067385,-0.2655,-0.961753,0.006956,-0.016833,-0.00042,0.990381,0.133875,0.034655,0.004697,18.0,1.0,12.0,MTE,22
0.37,-0.114046,-0.177083,0.095969,0.065837,-0.264792,-0.962055,-0.002299,-0.00329,-0.005993,0.990456,0.133499,0.033916,0.005047,18.0,1.0,12.0,MTE,22
0.38,-0.093104,-0.163173,0.104624,0.064162,-0.264022,-0.96238,-0.008833,0.01245,-0.003303,0.990536,0.133091,0.033117,0.005429,18.0,1.0,12.0,MTE,22
0.39,-0.066921,-0.158283,0.115168,0.062411,-0.263345,-0.962681,-0.009722,0.015679,-0.000545,0.990609,0.132729,0.032289,0.005878,18.0,1.0,12.0,MTE,22
0.4,-0.080775,-0.163194,0.138567,0.060635,-0.262628,-0.96299,-0.006146,0.010125,0.004998,0.990684,0.132345,0.031458,0.006403,18.0,1.0,12.0,MTE,22
0.41,-0.135732,-0.180868,0.163993,0.058712,-0.261535,-0.963407,-0.001079,-0.005707,0.013639,0.990784,0.131767,0.030565,0.007042,18.0,1.0,12.0,MTE,22
