secondsElapsed,wristMotion_rotationRateX,wristMotion_rotationRateY,wristMotion_rotationRateZ,wristMotion_gravityX,wristMotion_gravityY,wristMotion_gravityZ,wristMotion_accelerationX,wristMotion_accelerationY,wristMotion_accelerationZ,wristMotion_quaternionW,wristMotion_quaternionX,wristMotion_quaternionY,wristMotion_quaternionZ,weight,set,reps,activity,activityEncoded
0.0,,,,,,,,,,,,,,7.0,1.0,16.0,SAODTE,34
0.01,,,,,,,,,,,,,,7.0,1.0,16.0,SAODTE,34
0.02,,,,,,,,,,,,,,7.0,1.0,16.0,SAODTE,34
0.03,,,,,,,,,,,,,,7.0,1.0,16.0,SAODTE,34
0.04,,,,,,,,,,,,,,7.0,1.0,16.0,SAODTE,34
0.05,,,,,,,,,,,,,,7.0,1.0,16.0,SAODTE,34
0.06,,,,,,,,,,,,,,7.0,1.0,16.0,SAODTE,34
0.07,,,,,,,,,,,,,,7.0,1.0,16.0,SAODTE,34
0.08,,,,,,,,,,,,,,7.0,1.0,16.0,SAODTE,34
0.09,,,,,,,,,,,,,,7.0,1.0,16.0,SAODTE,34
0.1,,,,,,,,,,,,,,7.0,1.0,16.0,SAODTE,34
0.11,,,,,,,,,,,,,,7.0,1.0,16.0,SAODTE,34
0.12,,,,,,,,,,,,,,7.0,1.0,16.0,SAODTE,34
0.13,,,,,,,,,,,,,,7.0,1.0,16.0,SAODTE,34
0.14,,,,,,,,,,,,,,7.0,1.0,16.0,SAODTE,34
0.15,,,,,,,,,,,,,,7.0,1.0,16.0,SAODTE,34
0.16,,,,,,,,,,,,,,7.0,1.0,16.0,SAODTE,34
0.17,,,,,,,,,,,,,,7.0,1.0,16.0,SAODTE,34
0.18,0.077444,-0.055013,-0.27907,0.002154,-0.14954,-0.988753,0.015332,-0.049908,0.005797,0.997184,0.074981,0.00108,-0.0,7.0,1.0,16.0,SAODTE,34
0.19,0.03936,-0.060315,-0.263351,0.001995,-0.150076,-0.988672,0.018879,-0.05575,0.021494,0.997163,0.075253,0.000897,-0.001371,7.0,1.0,16.0,SAODTE,34
0.2,0.033786,-0.076235,-0.245776,0.001693,-0.1504,-0.988624,0.024048,-0.036688,0.017585,0.997148,0.075417,0.000648,-0.00266,7.0,1.0,16.0,SAODTE,34
