secondsElapsed,wristMotion_rotationRateX,wristMotion_rotationRateY,wristMotion_rotationRateZ,wristMotion_gravityX,wristMotion_gravityY,wristMotion_gravityZ,wristMotion_accelerationX,wristMotion_accelerationY,wristMotion_accelerationZ,wristMotion_quaternionW,wristMotion_quaternionX,wristMotion_quaternionY,wristMotion_quaternionZ,weight,set,reps,activity,activityEncoded
0.0,,,,,,,,,,,,,,7.0,1.0,12.0,AIDBC,6
0.01,,,,,,,,,,,,,,7.0,1.0,12.0,AIDBC,6
0.02,,,,,,,,,,,,,,7.0,1.0,12.0,AIDBC,6
0.03,,,,,,,,,,,,,,7.0,1.0,12.0,AIDBC,6
0.04,,,,,,,,,,,,,,7.0,1.0,12.0,AIDBC,6
0.05,,,,,,,,,,,,,,7.0,1.0,12.0,AIDBC,6
0.06,,,,,,,,,,,,,,7.0,1.0,12.0,AIDBC,6
0.07,,,,,,,,,,,,,,7.0,1.0,12.0,AIDBC,6
0.08,,,,,,,,,,,,,,7.0,1.0,12.0,AIDBC,6
0.09,,,,,,,,,,,,,,7.0,1.0,12.0,AIDBC,6
0.1,,,,,,,,,,,,,,7.0,1.0,12.0,AIDBC,6
0.11,,,,,,,,,,,,,,7.0,1.0,12.0,AIDBC,6
0.12,,,,,,,,,,,,,,7.0,1.0,12.0,AIDBC,6
0.13,,,,,,,,,,,,,,7.0,1.0,12.0,AIDBC,6
0.14,,,,,,,,,,,,,,7.0,1.0,12.0,AIDBC,6
0.15,,,,,,,,,,,,,,7.0,1.0,12.0,AIDBC,6
0.16,,,,,,,,,,,,,,7.0,1.0,12.0,AIDBC,6
0.17,,,,,,,,,,,,,,7.0,1.0,12.0,AIDBC,6
0.18,-0.019604,0.250255,0.040885,-0.313164,0.35964,-0.878969,0.014458,0.015634,0.030459,0.96927,-0.185528,-0.161539,-3.9e-05,7.0,1.0,12.0,AIDBC,6
0.19,-0.008487,0.230474,0.037356,-0.31108,0.359953,-0.879581,0.011351,0.026964,0.021244,0.969428,-0.185667,-0.160428,-9.1e-05,7.0,1.0,12.0,AIDBC,6
0.2,-0.004308,0.22764,0.024815,-0.309003,0.360014,-0.880288,0.014142,0.024645,0.019311,0.96961,-0.185677,-0.159311,-0.000169,7.0,1.0,12.0,AIDBC,6
0.21,0.004972,0.216787,0.005463,-0.306916,0.3601,-0.880983,0.015504,0.035515,0.021272,0.969789,-0.185705,-0.158184,-0.000286,7.0,1.0,12.0,AIDBC,6
0.22,-0.002802,0.213429,-0.006427,-0.304938,0.360219,-0.881621,0.01026,0.039836,0.017561,0.969954,-0.185765,-0.157102,-0.000471,7.0,1.0,12.0,AIDBC,6
0.23,-0.018258,0.206446,-0.023995,-0.303073,0.360417,-0.882183,0.008151,0.031032,0.009029,0.970099,-0.185879,-0.156069,-0.000721,7.0,1.0,12.0,AIDBC,6
0.24,-0.011526,0.203331,-0.034442,-0.301414,0.360574,-0.882687,0.007621,0.01969,0.014233,0.970228,-0.185989,-0.155128,-0.001065,7.0,1.0,12.0,AIDBC,6
0.25,0.007298,0.201269,-0.040675,-0.299834,0.360574,-0.883225,0.002608,0.020713,0.022675,0.970366,-0.186022,-0.154218,-0.001444,7.0,1.0,12.0,AIDBC,6
0.26,0.02601,0.1981,-0.041881,-0.298289,0.360583,-0.883744,-0.003926,0.021711,0.023331,0.970499,-0.186056,-0.153334,-0.001795,7.0,1.0,12.0,AIDBC,6
0.27,0.040442,0.184795,-0.040446,-0.296794,0.360426,-0.884311,-0.000829,0.007525,0.019809,0.970645,-0.185999,-0.152476,-0.002135,7.0,1.0,12.0,AIDBC,6
0.28,0.049477,0.157064,-0.02667,-0.295424,0.360165,-0.884876,-0.003374,-0.001339,0.025273,0.97079,-0.185877,-0.151695,-0.002408,7.0,1.0,12.0,AIDBC,6
0.29,0.03341,0.131779,-0.009949,-0.294201,0.36005,-0.885331,-0.00391,-0.009815,0.017594,0.970906,-0.18582,-0.151015,-0.002575,7.0,1.0,12.0,AIDBC,6
0.3,0.006992,0.10626,0.014008,-0.293145,0.360202,-0.885619,-0.001411,-0.02547,0.015471,0.97098,-0.185892,-0.150448,-0.002639,7.0,1.0,12.0,AIDBC,6
0.31,-0.031676,0.078431,0.039783,-0.292254,0.360638,-0.885736,-0.000257,-0.034084,0.019525,0.971011,-0.186102,-0.149993,-0.002588,7.0,1.0,12.0,AIDBC,6
0.32,-0.073157,0.055487,0.068693,-0.291493,0.361468,-0.885648,-0.000668,-0.03934,0.019697,0.970988,-0.186505,-0.149639,-0.002405,7.0,1.0,12.0,AIDBC,6
0.33,-0.084793,0.037092,0.092648,-0.290876,0.362637,-0.885373,-0.001528,-0.039913,0.028241,0.970918,-0.187074,-0.149388,-0.002111,7.0,1.0,12.0,AIDBC,6
0.34,-0.076533,0.024137,0.118064,-0.290327,0.363858,-0.885052,-0.005907,-0.019757,0.027508,0.970836,-0.187653,-0.149199,-0.001682,7.0,1.0,12.0,AIDBC,6
0.35,-0.058442,0.015769,0.136384,-0.289773,0.364892,-0.884808,-0.008689,-0.006707,0.021024,0.970774,-0.188113,-0.149028,-0.001139,7.0,1.0,12.0,AIDBC,6
0.36,-0.053804,0.001732,0.154639,-0.289298,0.36582,-0.88458,-0.007989,-0.008505,0.010893,0.970716,-0.188503,-0.148917,-0.000492,7.0,1.0,12.0,AIDBC,6
0.37,-0.050896,-0.012463,0.161386,-0.288883,0.366655,-0.88437,-0.005276,-0.006044,0.008562,0.970662,-0.188834,-0.148851,0.000225,7.0,1.0,12.0,AIDBC,6
0.38,-0.065749,-0.02153,0.176913,-0.28851,0.367463,-0.884156,-0.006961,-0.001954,0.011216,0.970607,-0.189144,-0.148817,0.000992,7.0,1.0,12.0,AIDBC,6
0.39,-0.093342,-0.026784,0.176437,-0.288163,0.368467,-0.883852,-0.00946,-0.004209,0.012972,0.970527,-0.189553,-0.148807,0.001793,7.0,1.0,12.0,AIDBC,6
0.4,-0.100569,-0.023948,0.171872,-0.287851,0.369572,-0.883492,-0.012899,-0.001774,0.015999,0.970433,-0.190023,-0.148813,0.002563,7.0,1.0,12.0,AIDBC,6
0.41,-0.097747,-0.024989,0.162984,-0.287578,0.370689,-0.883113,-0.015004,0.001518,0.007075,0.970333,-0.190506,-0.148833,0.003298,7.0,1.0,12.0,AIDBC,6
0.42,-0.087504,-0.023779,0.1593,-0.287336,0.371845,-0.882706,-0.01813,-0.004582,0.004852,0.970225,-0.191013,-0.148866,0.00401,7.0,1.0,12.0,AIDBC,6
0.43,-0.061117,-0.014024,0.147287,-0.28707,0.372884,-0.882354,-0.013284,-0.00591,0.001754,0.970131,-0.19146,-0.148883,0.004707,7.0,1.0,12.0,AIDBC,6
0.44,-0.054623,-0.005004,0.137274,-0.286743,0.373654,-0.882135,-0.013123,-0.004437,-0.000327,0.970072,-0.191771,-0.148851,0.005342,7.0,1.0,12.0,AIDBC,6
0.45,-0.076756,-0.005535,0.12464,-0.2864,0.374499,-0.881887,-0.012474,-0.01369,-0.000757,0.970005,-0.192132,-0.148801,0.00592,7.0,1.0,12.0,AIDBC,6
0.46,-0.085009,0.001415,0.10541,-0.286115,0.375496,-0.881556,-0.012637,-0.029426,0.000987,0.969916,-0.192589,-0.148766,0.006403,7.0,1.0,12.0,AIDBC,6
