secondsElapsed,wristMotion_rotationRateX,wristMotion_rotationRateY,wristMotion_rotationRateZ,wristMotion_gravityX,wristMotion_gravityY,wristMotion_gravityZ,wristMotion_accelerationX,wristMotion_accelerationY,wristMotion_accelerationZ,wristMotion_quaternionW,wristMotion_quaternionX,wristMotion_quaternionY,wristMotion_quaternionZ,weight,set,reps,activity,activityEncoded
0.0,,,,,,,,,,,,,,7.0,1.0,12.0,DWC,37
0.01,,,,,,,,,,,,,,7.0,1.0,12.0,DWC,37
0.02,,,,,,,,,,,,,,7.0,1.0,12.0,DWC,37
0.03,,,,,,,,,,,,,,7.0,1.0,12.0,DWC,37
0.04,,,,,,,,,,,,,,7.0,1.0,12.0,DWC,37
0.05,,,,,,,,,,,,,,7.0,1.0,12.0,DWC,37
0.06,,,,,,,,,,,,,,7.0,1.0,12.0,DWC,37
0.07,,,,,,,,,,,,,,7.0,1.0,12.0,DWC,37
0.08,,,,,,,,,,,,,,7.0,1.0,12.0,DWC,37
0.09,,,,,,,,,,,,,,7.0,1.0,12.0,DWC,37
0.1,,,,,,,,,,,,,,7.0,1.0,12.0,DWC,37
0.11,,,,,,,,,,,,,,7.0,1.0,12.0,DWC,37
0.12,,,,,,,,,,,,,,7.0,1.0,12.0,DWC,37
0.13,,,,,,,,,,,,,,7.0,1.0,12.0,DWC,37
0.14,,,,,,,,,,,,,,7.0,1.0,12.0,DWC,37
0.15,-0.157193,-0.005088,-0.022423,0.212033,-0.140831,-0.967062,-0.004437,-2.3e-05,0.02059,0.991731,0.071017,0.10689,-0.000138,7.0,1.0,12.0,DWC,37
0.16,-0.127563,-0.016132,-0.02172,0.211942,-0.139398,-0.967289,-0.002073,-0.001533,0.0192,0.991789,0.070294,0.106837,-0.000169,7.0,1.0,12.0,DWC,37
0.17,-0.084395,-0.010743,-0.018523,0.21183,-0.138339,-0.967466,0.001198,0.002673,0.01013,0.991833,0.069762,0.106772,-0.000216,7.0,1.0,12.0,DWC,37
0.18,-0.071267,0.002106,-0.01986,0.211819,-0.137553,-0.96758,0.003681,0.019862,0.017019,0.991862,0.069371,0.106759,-0.000278,7.0,1.0,12.0,DWC,37
0.19,-0.055816,0.007207,-0.017133,0.21189,-0.136889,-0.967659,-0.003867,0.01868,0.024849,0.991882,0.069041,0.106789,-0.000333,7.0,1.0,12.0,DWC,37
0.2,-0.050526,0.025463,-0.014547,0.212059,-0.136363,-0.967696,-0.009392,0.002238,0.017837,0.991891,0.068778,0.106871,-0.000365,7.0,1.0,12.0,DWC,37
0.21,-0.086487,0.044694,-0.019345,0.212424,-0.135677,-0.967713,-0.008246,0.003109,0.029526,0.991895,0.068436,0.107052,-0.000402,7.0,1.0,12.0,DWC,37
0.22,-0.137927,0.042957,-0.017455,0.212889,-0.13457,-0.967765,-0.010755,-0.011777,0.034812,0.991908,0.06788,0.107283,-0.000426,7.0,1.0,12.0,DWC,37
0.23,-0.213077,0.042127,-0.021502,0.213321,-0.132834,-0.96791,-0.005832,-0.039087,0.02748,0.991945,0.067001,0.107499,-0.00041,7.0,1.0,12.0,DWC,37
0.24,-0.284894,0.031986,-0.025837,0.213719,-0.130361,-0.968158,-0.00237,-0.041849,0.03403,0.992008,0.065747,0.107696,-0.000376,7.0,1.0,12.0,DWC,37
0.25,-0.342969,0.032116,-0.030667,0.214056,-0.127242,-0.968498,-9.8e-05,-0.038316,0.031761,0.992093,0.064165,0.107859,-0.000337,7.0,1.0,12.0,DWC,37
0.26,-0.392543,0.039751,-0.040113,0.214447,-0.123598,-0.968884,0.003952,-0.025511,0.034436,0.99219,0.062319,0.108048,-0.000304,7.0,1.0,12.0,DWC,37
0.27,-0.427522,0.046959,-0.041797,0.214939,-0.119508,-0.969288,-0.002857,-0.01982,0.03841,0.992292,0.060248,0.108288,-0.000272,7.0,1.0,12.0,DWC,37
0.28,-0.392173,0.042618,-0.047142,0.208269,-0.131173,-0.969236,-0.004106,-0.003929,0.043851,0.992279,0.066012,0.104998,0.000802,7.0,1.0,12.0,DWC,37
0.29,-0.351699,0.067394,-0.058357,0.209961,-0.130011,-0.969027,-0.001252,0.015906,0.042513,0.992226,0.065424,0.10586,0.000855,7.0,1.0,12.0,DWC,37
