secondsElapsed,wristMotion_rotationRateX,wristMotion_rotationRateY,wristMotion_rotationRateZ,wristMotion_gravityX,wristMotion_gravityY,wristMotion_gravityZ,wristMotion_accelerationX,wristMotion_accelerationY,wristMotion_accelerationZ,wristMotion_quaternionW,wristMotion_quaternionX,wristMotion_quaternionY,wristMotion_quaternionZ,weight,set,reps,activity,activityEncoded
0.0,,,,,,,,,,,,,,4.0,1.0,10.0,DLR,13
0.01,,,,,,,,,,,,,,4.0,1.0,10.0,DLR,13
0.02,,,,,,,,,,,,,,4.0,1.0,10.0,DLR,13
0.03,,,,,,,,,,,,,,4.0,1.0,10.0,DLR,13
0.04,,,,,,,,,,,,,,4.0,1.0,10.0,DLR,13
0.05,,,,,,,,,,,,,,4.0,1.0,10.0,DLR,13
0.06,,,,,,,,,,,,,,4.0,1.0,10.0,DLR,13
0.07,,,,,,,,,,,,,,4.0,1.0,10.0,DLR,13
0.08,,,,,,,,,,,,,,4.0,1.0,10.0,DLR,13
0.09,,,,,,,,,,,,,,4.0,1.0,10.0,DLR,13
0.1,,,,,,,,,,,,,,4.0,1.0,10.0,DLR,13
0.11,,,,,,,,,,,,,,4.0,1.0,10.0,DLR,13
0.12,,,,,,,,,,,,,,4.0,1.0,10.0,DLR,13
0.13,,,,,,,,,,,,,,4.0,1.0,10.0,DLR,13
0.14,,,,,,,,,,,,,,4.0,1.0,10.0,DLR,13
0.15,,,,,,,,,,,,,,4.0,1.0,10.0,DLR,13
0.16,,,,,,,,,,,,,,4.0,1.0,10.0,DLR,13
0.17,,,,,,,,,,,,,,4.0,1.0,10.0,DLR,13
0.18,,,,,,,,,,,,,,4.0,1.0,10.0,DLR,13
0.19,,,,,,,,,,,,,,4.0,1.0,10.0,DLR,13
0.2,,,,,,,,,,,,,,4.0,1.0,10.0,DLR,13
0.21,,,,,,,,,,,,,,4.0,1.0,10.0,DLR,13
0.22,,,,,,,,,,,,,,4.0,1.0,10.0,DLR,13
0.23,-1.725482,-1.395374,3.443878,-0.095977,0.146324,-0.98457,0.42337,-0.048073,0.165356,0.992153,-0.068849,-0.054543,0.08898,4.0,1.0,10.0,DLR,13
0.24,-1.773813,-1.435886,3.579344,-0.104368,0.167066,-0.980406,0.442198,-0.058378,0.15518,0.98938,-0.077854,-0.06112,0.10644,4.0,1.0,10.0,DLR,13
0.25,-1.82612,-1.494865,3.682418,-0.112246,0.188663,-0.975606,0.465961,-0.03513,0.143224,0.986063,-0.087096,-0.067907,0.12443,4.0,1.0,10.0,DLR,13
0.26,-1.858163,-1.558665,3.791142,-0.119652,0.210992,-0.970137,0.487404,0.000174,0.130842,0.982165,-0.096507,-0.074953,0.142897,4.0,1.0,10.0,DLR,13
0.27,-1.872529,-1.603454,3.89608,-0.126396,0.233827,-0.964027,0.497292,0.038176,0.125816,0.977663,-0.105981,-0.082185,0.161831,4.0,1.0,10.0,DLR,13
0.28,-1.867161,-1.643006,3.979555,-0.132319,0.256942,-0.957326,0.501429,0.065094,0.12415,0.972542,-0.11542,-0.089529,0.181175,4.0,1.0,10.0,DLR,13
0.29,-1.846345,-1.67067,4.048372,-0.137354,0.280116,-0.950089,0.499644,0.074666,0.111328,0.966809,-0.124731,-0.096942,0.200808,4.0,1.0,10.0,DLR,13
0.3,-1.853128,-1.682536,4.112937,-0.141311,0.303329,-0.942349,0.490524,0.068862,0.11752,0.960461,-0.133938,-0.104335,0.220657,4.0,1.0,10.0,DLR,13
0.31,-1.911037,-1.686966,4.177915,-0.144056,0.326929,-0.934005,0.482038,0.054311,0.127852,0.953454,-0.143247,-0.111704,0.240683,4.0,1.0,10.0,DLR,13
0.32,-2.062277,-1.685561,4.243106,-0.145443,0.351481,-0.924828,0.47366,0.030354,0.160927,0.94572,-0.152984,-0.119087,0.260821,4.0,1.0,10.0,DLR,13
0.33,-2.301717,-1.679635,4.275638,-0.145376,0.37776,-0.91442,0.461798,0.006609,0.199728,0.937175,-0.163594,-0.126598,0.280915,4.0,1.0,10.0,DLR,13
0.34,-2.606853,-1.662062,4.275173,-0.143764,0.406287,-0.902365,0.44839,-0.012779,0.245047,0.927768,-0.175418,-0.134336,0.300714,4.0,1.0,10.0,DLR,13
0.35,-2.927706,-1.640852,4.248158,-0.140554,0.437209,-0.888309,0.427237,-0.035827,0.296405,0.917469,-0.188607,-0.142384,0.320007,4.0,1.0,10.0,DLR,13
0.36,-3.224713,-1.59849,4.207704,-0.135624,0.470231,-0.87206,0.396702,-0.056276,0.352788,0.906282,-0.203109,-0.15072,0.338648,4.0,1.0,10.0,DLR,13
0.37,-3.46993,-1.521443,4.168979,-0.128674,0.504737,-0.85363,0.35928,-0.084358,0.423774,0.894239,-0.218745,-0.159172,0.356584,4.0,1.0,10.0,DLR,13
0.38,-3.69301,-1.406656,4.132169,-0.119333,0.540185,-0.833042,0.315226,-0.109384,0.486423,0.881368,-0.2354,-0.167528,0.373779,4.0,1.0,10.0,DLR,13
0.39,-3.910587,-1.25809,4.089029,-0.107319,0.576166,-0.810256,0.270955,-0.126612,0.546935,0.867702,-0.253041,-0.175619,0.390155,4.0,1.0,10.0,DLR,13
